Age,Gender,Marital_Status,Education_Level,Dependents,Annual_Income,Total_Assets,Monthly_Expenses,Savings_Balance,Debt_to_Income_Ratio,Employment_Type,Years_at_Current_Job,Employer_Category,Loan_Amount,Loan_Purpose,Term_Months,Interest_Rate,Loan_to_Income_Ratio,FICO_Score,Existing_Credits_Count,Prev_Defaults,Credit_Utilization,Default_Status
61,Female,Married,High School,1,43115.05806820486,142449.16923028554,1851.058630951382,32888.94808437628,0.52,Self-Employed,6,Corporate,8529.01838390843,Personal,60,9.43,0.2,701.5603098409462,0,0,0.68,0
24,Male,Divorced,Master,1,67796.10806826189,84971.22516270874,1447.672660705152,42280.33089200215,0.26,Part-Time,14,SME,33980.780642448604,Education,12,8.89,0.5,637.2132910760886,5,0,0.4,0
63,Male,Single,Bachelor,2,52519.05646004041,163385.12812446506,2051.260027671513,4946.545349388609,0.47,Full-Time,16,Startup,16668.402602761085,Home,36,9.63,0.32,736.5574721954795,0,0,0.91,0
26,Male,Single,High School,0,45239.4242309075,266897.2417413283,3256.368777369588,27659.362369641793,0.86,Full-Time,1,Corporate,27359.51470716143,Car,12,8.35,0.6,652.593369015748,7,0,0.93,1
21,Male,Married,High School,0,67754.12291295647,144020.2739699216,3451.0975179768516,15174.06502519837,0.61,Full-Time,17,Corporate,19393.11621941591,Car,48,7.79,0.29,757.5150237459427,1,0,0.38,0
32,Female,Single,High School,1,107290.18256381013,205525.95892775746,1682.7641906176311,22782.649617117604,0.19,Part-Time,2,Startup,22919.921087796964,Personal,36,5.22,0.21,613.4200088500963,6,1,0.31,0
55,Female,Single,Master,3,86275.77603900788,130093.80468630549,3618.9903703542614,8002.854569337782,0.5,Full-Time,7,Corporate,15365.33562071514,Car,24,6.83,0.18,653.998062114852,3,0,0.21,0
31,Female,Married,High School,3,31398.85964798763,313865.4573531777,2678.868614145999,60902.56159420806,1.02,Self-Employed,11,Government,14504.228215263265,Personal,36,12.4,0.46,694.0430463039108,2,0,0.36,0
43,Female,Divorced,High School,4,83726.495254821,10000.0,3641.466825847319,5783.84029765008,0.52,Full-Time,13,Government,2000.0,Car,24,11.3,0.02,662.9189590411519,1,0,0.71,0
34,Male,Married,PhD,4,55995.313906187104,117960.68113697908,2516.248256243063,17038.138310093134,0.54,Full-Time,11,SME,34038.22055154333,Personal,48,5.18,0.61,818.9877936726712,0,0,0.29,0
39,Female,Divorced,High School,3,50404.60655025149,141133.9038622196,3990.6279684273018,35661.98400795504,0.95,Part-Time,2,SME,12625.925994679372,Education,12,10.75,0.25,685.5791564797361,4,0,0.2,0
57,Female,Single,Bachelor,0,34359.75178913711,107608.65341024485,1234.9128600272118,35152.280008781985,0.43,Self-Employed,3,SME,2519.981193035692,Car,24,7.95,0.07,585.8131282220585,5,1,0.52,0
36,Male,Single,High School,4,69880.92394632284,66096.51869498705,2254.80476468044,22840.44477681668,0.39,Self-Employed,1,SME,8982.815799237638,Education,48,14.8,0.13,607.6735312085195,2,0,0.42,0
64,Female,Married,Bachelor,4,51944.017774257685,97825.20691854428,3208.189906915399,37740.325220724204,0.74,Self-Employed,1,Corporate,7875.415057635688,Education,60,8.39,0.15,700.3320304098906,1,1,0.58,1
48,Male,Married,Bachelor,0,73803.2256803515,163679.07405627106,2816.111356713322,68321.07900925765,0.46,Full-Time,28,SME,15691.900615300536,Personal,12,10.21,0.21,647.811845900335,5,1,0.34,1
51,Male,Married,Master,4,71602.50334656477,172933.43317365527,2696.6507957994986,34009.17626504256,0.45,Full-Time,24,Government,4167.9456887464,Car,60,15.24,0.06,734.8261425631729,5,0,0.49,0
27,Male,Married,Bachelor,4,81300.03929934293,180297.0617013202,1946.8788986902364,62559.17104078818,0.29,Part-Time,7,SME,18558.910125310664,Home,48,16.9,0.23,676.2897111130143,6,0,0.49,0
47,Male,Single,Master,1,60307.27982184544,227439.04937198473,1932.2553104285726,29350.52071364684,0.38,Part-Time,11,SME,14478.122147246084,Car,60,10.73,0.24,600.6664566779496,7,0,0.51,0
37,Male,Single,High School,2,58524.017812769234,152343.9699940714,3378.0472817079303,16791.26090205091,0.69,Full-Time,17,Corporate,36987.76776375256,Car,24,11.88,0.63,678.6306376965072,7,0,0.38,0
27,Male,Divorced,Bachelor,3,88588.6448071017,105096.11813257649,3202.2247330553223,15405.182949908476,0.43,Full-Time,7,Corporate,12398.616861219014,Home,24,8.37,0.14,680.6382955827999,3,0,0.56,0
35,Female,Married,High School,0,64454.36768339713,229214.55648013658,1183.5525204900894,22996.903155532604,0.22,Full-Time,26,Government,20079.209217490523,Personal,36,12.62,0.31,653.2977280378615,7,0,0.38,0
60,Female,Divorced,Bachelor,2,66982.47082212876,114126.4928088937,3333.9285328016076,0.0,0.6,Full-Time,24,SME,17027.10303805146,Car,60,10.44,0.25,703.1028102995784,6,0,0.47,0
32,Female,Married,High School,2,29830.763322053885,76755.73356608808,2664.767409343235,62544.323280958764,1.07,Full-Time,22,SME,28239.485932802694,Personal,36,9.68,0.95,701.2890242797258,2,0,0.84,1
28,Female,Single,PhD,1,48150.61898637598,316994.64477862243,2891.933673405024,0.0,0.72,Unemployed,18,SME,12131.314519501058,Business,60,7.95,0.25,685.0065001444605,6,0,0.7,0
22,Female,Divorced,Bachelor,3,69275.47539156859,238034.19384740922,2675.12309854435,42087.93892332564,0.46,Full-Time,14,Corporate,15916.093512668449,Home,60,12.36,0.23,654.1842176497286,0,0,0.12,0
64,Male,Single,Bachelor,0,46887.93426185316,40508.87134085942,2439.1733160427643,18499.441405407837,0.62,Self-Employed,25,SME,27519.052486390337,Education,48,9.44,0.59,763.8047969786297,3,0,0.5,0
58,Male,Single,Bachelor,2,37764.57607742277,197810.49580399893,2046.6922106297334,0.0,0.65,Full-Time,9,Government,15537.520132644438,Home,36,8.62,0.41,650.1306883676211,2,0,0.43,0
46,Female,Single,Bachelor,1,74159.46979811203,99016.37357198028,1688.5901690406758,17532.507367953636,0.27,Full-Time,10,SME,27157.958233647114,Car,48,12.21,0.37,688.9012961420707,0,0,0.9,0
41,Male,Married,High School,1,50877.28684205226,66354.69020996697,2593.0491065969554,17402.754254020292,0.61,Self-Employed,27,SME,20055.627782473668,Car,48,9.09,0.39,803.0064631037031,3,0,0.26,0
33,Male,Married,Master,2,94875.79919007534,241704.99757478322,3317.1545063843014,17756.087047123874,0.42,Self-Employed,12,Corporate,37296.6833610234,Business,24,14.83,0.39,467.29447558393906,8,1,0.49,1
39,Female,Single,High School,1,42254.18220403031,177520.86939096826,2114.574187932046,0.0,0.6,Full-Time,4,Corporate,32529.62304016578,Education,48,16.64,0.77,628.5030268797834,5,1,0.54,1
38,Male,Married,Bachelor,2,113279.01827295838,29745.029558201873,1778.386638173934,44405.338521258855,0.19,Full-Time,26,SME,15423.884752093014,Car,60,15.29,0.14,700.0424489733123,2,0,0.47,0
22,Male,Married,High School,2,66230.01138780286,100631.91751329023,2732.1896339305727,5228.669994062435,0.5,Full-Time,29,Corporate,25409.592823578627,Home,12,12.23,0.38,675.9137192515806,5,0,0.52,0
62,Female,Married,Bachelor,0,62343.02931114587,181722.2300610421,2039.7887408741685,53474.382198284235,0.39,Full-Time,8,Government,20717.2668245416,Car,24,12.82,0.33,551.0380136149904,3,0,0.1,0
48,Male,Single,High School,0,62762.74362229347,126892.83455968676,3243.006707802816,33688.71976315453,0.62,Self-Employed,0,Government,25242.703851588474,Education,12,10.33,0.4,763.2906619350493,2,0,0.56,0
43,Male,Married,Master,3,24537.244220358873,10000.0,2833.8134281643806,45746.30394565759,1.39,Full-Time,14,Government,24799.74885138095,Car,24,6.24,1.01,558.7048806713385,9,0,0.37,1
24,Male,Married,Master,3,93362.17758139658,104197.74200171503,3038.0894256328866,27289.708781446137,0.39,Part-Time,14,SME,21419.779192057584,Personal,36,8.99,0.23,713.0983933292424,5,1,0.5,1
24,Male,Married,High School,3,65899.16832096936,226719.68722413748,800.0,1108.222428598052,0.15,Self-Employed,0,Corporate,26544.36836762141,Business,48,5.49,0.4,850.0,3,0,0.49,0
32,Female,Single,Bachelor,1,43980.12139111138,113941.71759875715,3122.6533664917547,25685.49580860328,0.85,Self-Employed,2,Corporate,11788.91402565415,Car,12,13.44,0.27,711.4654750682405,6,0,0.36,0
42,Female,Single,Master,4,25992.750815984822,161978.80406820102,3189.206061571251,25392.847913108653,1.47,Full-Time,0,Government,2000.0,Personal,60,10.82,0.08,706.7685611444022,0,1,0.14,0
46,Male,Single,Bachelor,4,51585.07376169007,143005.97764128968,1356.1593110254037,23704.924617795135,0.32,Full-Time,22,Corporate,14239.670442855197,Business,24,13.36,0.28,669.4065694398314,4,0,0.6,0
60,Male,Married,High School,0,74761.93468178225,185434.8312558045,2006.005757365257,8683.707514315294,0.32,Full-Time,10,Startup,26091.22711301782,Personal,36,10.17,0.35,725.0785801095017,8,1,0.93,1
62,Female,Married,High School,2,30726.89241073729,243307.46893412893,1192.1166485663828,57304.84366795876,0.47,Self-Employed,0,Corporate,21094.82274419857,Personal,24,5.05,0.69,698.0154178491304,2,0,0.48,0
55,Male,Married,Bachelor,4,44573.95878008795,187799.9566520352,1336.471540855944,54514.18655651677,0.36,Full-Time,23,Corporate,28537.592795640725,Personal,24,17.49,0.64,547.5888138192979,4,0,0.85,1
24,Female,Single,Bachelor,2,30106.846167776257,92596.81167745605,2984.031619212383,45047.90830465623,1.19,Full-Time,4,SME,17403.291795323552,Home,12,15.31,0.58,709.6359742476219,6,0,0.2,0
32,Female,Married,High School,2,50993.50061500548,52369.966687208915,3149.263302502361,35956.19232704677,0.74,Full-Time,2,Government,25389.545112593594,Car,48,5.31,0.5,781.5975057543228,3,0,0.37,0
24,Male,Single,Bachelor,1,32098.943352118353,177434.8408954266,2993.4986230447025,33718.080055142986,1.12,Part-Time,21,SME,12806.378543932191,Personal,24,13.35,0.4,634.1926006346542,3,0,0.91,1
51,Male,Divorced,Bachelor,1,51735.48248442867,69892.20338884223,3348.662207333189,29170.574679101843,0.78,Full-Time,2,Corporate,11051.693497026181,Education,48,17.71,0.21,677.4546150732486,0,1,0.28,0
27,Female,Single,High School,2,73726.20414228983,10000.0,2610.614927056322,67688.1695552372,0.42,Part-Time,26,SME,19550.924739531794,Personal,60,6.58,0.27,741.7111654660984,8,0,0.25,0
30,Male,Married,High School,3,72440.92246683023,157186.06390318647,1610.867056320584,0.0,0.27,Unemployed,11,SME,7588.489610669651,Home,48,5.92,0.1,746.4976178665869,5,0,0.23,0
44,Female,Married,Bachelor,2,55437.14251014759,186745.54294273758,1270.2588360631496,13942.873970180952,0.27,Full-Time,18,SME,38874.01695118851,Car,48,5.44,0.7,634.307231630411,5,0,0.93,1
35,Male,Married,Bachelor,3,60560.88169695515,227767.04084930316,1893.7852838688232,27052.896434407132,0.38,Full-Time,23,SME,14644.09394861592,Home,12,5.79,0.24,646.0305266184986,8,0,0.61,0
59,Female,Divorced,Bachelor,0,40109.49053839019,170800.49810935004,1991.7038133592364,21227.092828424797,0.6,Self-Employed,2,Corporate,33159.84066994056,Business,60,9.86,0.83,625.1261112914066,3,1,0.42,1
40,Male,Married,High School,1,69369.58244902143,138331.52107544796,2314.1814873947706,28841.54498324507,0.4,Full-Time,27,Corporate,6460.120802258267,Personal,12,15.74,0.09,761.767069190821,1,0,0.79,0
27,Male,Married,High School,2,68670.9461946128,84551.90969769098,2359.733691531261,17335.61739339491,0.41,Full-Time,5,Corporate,20069.93587236321,Home,36,8.22,0.29,630.740802298175,9,0,0.74,0
33,Female,Single,PhD,3,55009.61014175379,186508.66253357037,3638.763441438252,22694.322219298952,0.79,Full-Time,24,Startup,29815.621399627496,Education,36,6.76,0.54,829.0609017612596,1,0,0.15,0
48,Female,Single,Master,0,26503.604451998253,120973.4986452342,1040.4278677369732,0.0,0.47,Full-Time,6,Corporate,20540.982090598383,Home,12,9.67,0.78,686.3471647836657,5,0,0.34,0
59,Male,Divorced,Master,4,49425.99815364091,113809.14711420477,2791.111646659243,4844.625770699626,0.68,Part-Time,2,SME,25118.045945269732,Business,60,8.3,0.51,613.5316561583132,7,1,0.73,1
38,Female,Single,Bachelor,3,71885.39355378588,53394.59591798068,2477.2928947896353,57029.762365493705,0.41,Full-Time,29,Corporate,16176.741209787124,Car,48,7.05,0.23,554.5085792227741,8,0,0.65,0
31,Male,Single,Bachelor,3,46798.62182027653,258503.03856019047,3220.00547196739,55415.12992646494,0.83,Full-Time,28,Corporate,27553.216296950413,Personal,24,10.12,0.59,676.9930387102435,9,0,0.1,0
56,Female,Single,Master,4,58787.595845968026,148860.60663347322,2236.2237583741544,24709.982312544245,0.46,Self-Employed,5,Corporate,8949.185646141563,Education,48,15.1,0.15,636.7683954805647,9,0,0.15,0
56,Male,Single,High School,0,45526.52830260984,434194.0091714855,1195.1330366008137,18329.801514845516,0.32,Self-Employed,10,Corporate,19140.397187667444,Home,60,5.75,0.42,711.9877848101577,5,0,0.5,0
22,Female,Single,High School,1,28115.59752141656,100307.94077528921,2483.3325066449165,40220.516062671566,1.06,Unemployed,9,Corporate,16381.22970512462,Personal,36,9.56,0.58,850.0,0,0,0.11,0
37,Male,Single,Bachelor,2,79214.87017359197,159365.70885023155,3350.4706759605624,44776.12857831637,0.51,Part-Time,9,Government,18849.71059370641,Home,60,14.34,0.24,608.0747348220802,2,0,0.75,0
26,Female,Married,Bachelor,2,79755.31092358069,240213.38568938608,2750.5092499927714,27559.668562596453,0.41,Full-Time,21,Corporate,24516.569742953543,Car,60,8.4,0.31,796.9148302333991,3,1,0.64,0
61,Male,Married,Master,2,72606.82782721551,291286.80944053765,1269.7186966349432,27074.873792636856,0.21,Full-Time,28,Government,15758.252022735596,Education,24,7.97,0.22,576.7107560592716,6,0,0.33,0
43,Female,Single,High School,2,21309.255671265164,228086.52283177208,2456.269412768722,50371.641266180886,1.38,Unemployed,6,Startup,32804.60173577099,Education,12,15.3,1.54,724.5975437143561,5,0,0.4,1
36,Male,Married,Master,1,47300.21542111075,209627.07786092508,2889.3032624494504,24529.900334573562,0.73,Full-Time,5,SME,11421.687414551356,Business,12,12.02,0.24,741.0767539073868,5,0,0.29,0
61,Female,Single,Master,1,25097.002157516385,290958.39678575826,2863.9427304060337,61066.102445095195,1.37,Full-Time,18,SME,13843.39270880674,Education,24,17.51,0.55,686.7383151958876,2,0,0.44,0
46,Male,Married,High School,1,95117.13459394412,158217.3872860101,2221.5329476901456,10780.64568481679,0.28,Full-Time,1,Government,30961.61985579951,Home,24,13.57,0.33,613.9978878000641,9,0,0.66,0
21,Female,Married,Bachelor,3,47014.62726844844,92469.36848016517,3122.882754323073,38658.207855223285,0.8,Full-Time,26,Corporate,40236.6605309625,Business,36,6.92,0.86,850.0,5,1,0.91,1
56,Female,Married,Bachelor,4,59696.53741699198,23736.227325604952,3650.3652923909262,16873.689321928756,0.73,Full-Time,8,Startup,25440.83437944546,Education,36,15.17,0.43,686.9660748655638,2,0,0.49,1
50,Male,Married,High School,3,73338.4310850715,29900.000587029397,3611.1597901771456,1261.2600007696674,0.59,Self-Employed,27,SME,35580.3919647883,Home,12,11.8,0.49,692.092477051132,3,0,0.45,0
22,Male,Married,High School,1,70514.37147546581,151617.55034153486,2162.893427040767,28888.10875846205,0.37,Self-Employed,17,Startup,19509.188348769247,Car,36,10.74,0.28,775.0213623968566,4,0,0.42,0
40,Female,Married,High School,1,39461.28532725178,198524.57574345573,2912.455987133399,12614.753828694276,0.89,Self-Employed,4,Startup,23415.841575711493,Personal,60,12.21,0.59,751.281387249405,5,1,0.55,0
25,Female,Married,Master,4,77233.74684228374,128484.33094154223,2034.669612081579,61860.39473295625,0.32,Full-Time,9,Corporate,40648.42578937098,Car,12,12.92,0.53,646.0729144023145,0,0,0.51,0
51,Female,Single,Bachelor,0,68417.93505079877,34466.13448316358,3492.819079987308,31690.920776506664,0.61,Full-Time,22,Corporate,18888.073028936018,Education,60,15.12,0.28,745.2576858085853,3,0,0.88,1
28,Male,Single,Bachelor,0,72745.56605407482,103828.86026836111,2570.9656445704622,42379.371142977005,0.42,Unemployed,13,Government,15496.271559864817,Personal,48,6.57,0.21,613.3173804715916,6,1,0.83,1
50,Female,Single,Master,2,68523.14104828486,113938.68115150332,2331.4286511669834,42592.49020842508,0.41,Part-Time,29,SME,22763.77364235544,Home,12,17.1,0.33,795.5496331705839,4,0,0.72,0
59,Male,Married,Master,3,49444.243526250284,67047.0718443324,2033.9627721652878,8238.276823736356,0.49,Full-Time,27,Corporate,18177.21839789272,Education,12,9.46,0.37,688.3781253849323,9,0,0.76,0
22,Female,Married,High School,2,73027.36963373638,10000.0,950.0123292761064,38949.06729497026,0.16,Full-Time,19,Corporate,5259.59241914536,Personal,36,9.02,0.07,650.8268452729066,9,0,0.84,0
33,Male,Married,Bachelor,3,59738.06827779141,131646.45482783663,3487.472713834124,34760.25007005484,0.7,Full-Time,23,Corporate,24148.58481768008,Car,36,6.94,0.4,822.3449388173483,7,0,0.73,0
24,Female,Single,PhD,2,73579.06180093062,221925.30526970213,4005.083738108924,64443.098465938,0.65,Full-Time,21,SME,21506.639947528907,Education,12,14.22,0.29,620.9844822669877,6,1,0.17,1
28,Male,Divorced,Master,0,45091.81624128502,23360.989547194476,4469.099172951104,14272.996959789474,1.19,Full-Time,18,Government,18596.948992096557,Personal,36,12.65,0.41,596.2649417958567,9,0,0.44,0
59,Female,Single,Master,3,65997.63446141937,262181.3437679883,2867.3740219996616,35380.91831967296,0.52,Full-Time,23,Corporate,31253.291608853608,Home,24,13.08,0.47,628.5040724885863,2,0,0.93,1
45,Female,Married,Bachelor,1,58008.65675247935,291153.42212244595,4222.333590844014,9556.902968472616,0.87,Self-Employed,4,Startup,29576.507523601587,Business,24,17.65,0.51,609.5449489959409,7,0,0.88,1
27,Female,Divorced,Bachelor,0,86633.82851706957,291398.76288069016,4416.446919582561,0.0,0.61,Full-Time,25,SME,21970.012260591477,Business,12,15.98,0.25,586.5602654015368,6,0,0.2,0
34,Male,Married,Bachelor,1,58991.86414491832,76572.56316655024,2472.2126461512785,41490.1336442703,0.5,Full-Time,22,Corporate,12051.037278115738,Business,48,15.2,0.2,828.5753992591244,4,0,0.58,0
49,Female,Married,Bachelor,0,24455.426404213555,165984.82415804503,3906.884549012632,0.0,1.92,Full-Time,1,Corporate,42475.59036749657,Personal,60,7.7,1.74,600.2901667602762,8,0,0.24,1
41,Male,Married,Bachelor,0,85371.78623696048,10000.0,3564.993848500795,15811.281922005192,0.5,Part-Time,7,SME,29338.761247713053,Car,12,13.3,0.34,756.3797236868475,8,0,0.52,0
57,Male,Married,Bachelor,0,62903.996122928125,129397.72244806126,3892.918928304558,4412.065489291588,0.74,Full-Time,12,Corporate,18614.902728606925,Business,48,15.99,0.3,666.8154397332743,5,0,0.9,1
53,Female,Married,Bachelor,1,44187.303392735084,91290.78957981637,3788.2390809851686,15228.718794468712,1.03,Self-Employed,21,Corporate,12434.86139417805,Education,48,9.42,0.28,742.9190891771605,4,1,0.11,0
61,Female,Single,Bachelor,2,35095.005368354956,93655.12674063772,2939.6348614354515,62217.18786221929,1.01,Part-Time,2,SME,24866.103661788955,Business,60,10.78,0.71,626.9272612271923,4,1,0.54,1
45,Female,Married,Bachelor,4,37031.71892766,315047.53677550814,1873.0114672063394,16564.33638507806,0.61,Unemployed,24,SME,17811.57831758966,Car,60,14.7,0.48,634.8422634536486,2,0,0.15,0
34,Male,Single,High School,0,63027.12094802626,297096.2013631449,2662.2365669525043,37578.228070291945,0.51,Self-Employed,11,Startup,21734.980846398543,Car,60,7.11,0.34,758.0907899040071,5,1,0.93,1
29,Female,Single,Bachelor,4,82136.14663774386,208607.30275930752,2678.6025152936895,22718.268645384054,0.39,Full-Time,12,Government,31609.050300606872,Home,60,5.77,0.38,579.1186625989957,3,0,0.62,0
